23.0,54.3,2018-08-18 04:07:13,0
23.0,54.3,2018-08-18 04:08:17,0
23.0,54.3,2018-08-18 04:09:17,0
22.9,54.4,2018-08-18 04:10:18,0
22.9,54.4,2018-08-18 04:11:18,0
22.9,54.4,2018-08-18 04:12:19,0
22.9,54.4,2018-08-18 04:13:20,0
22.9,54.4,2018-08-18 04:14:20,0
22.9,54.5,2018-08-18 04:15:21,0
22.8,54.4,2018-08-18 04:16:21,0
22.8,54.6,2018-08-18 04:17:22,0
22.8,54.7,2018-08-18 04:18:22,0
22.8,54.7,2018-08-18 04:19:26,0
22.7,54.6,2018-08-18 04:20:26,0
22.8,54.6,2018-08-18 04:21:27,0
22.8,54.6,2018-08-18 04:22:27,0
22.9,54.6,2018-08-18 04:23:28,0
23.1,54.4,2018-08-18 04:24:34,0
23.1,54.4,2018-08-18 04:25:34,0
23.2,54.3,2018-08-18 04:26:35,0
23.2,54.2,2018-08-18 04:27:35,0
23.2,54.1,2018-08-18 04:28:36,0
23.3,54.2,2018-08-18 04:29:37,0
23.3,54.2,2018-08-18 04:30:37,0
23.4,54.2,2018-08-18 04:31:38,0
23.3,54.1,2018-08-18 04:32:38,0
23.4,54.1,2018-08-18 04:33:39,0
23.4,54.1,2018-08-18 04:34:39,0
23.4,54.1,2018-08-18 04:35:40,0
23.5,54.1,2018-08-18 04:36:41,0
23.5,54.1,2018-08-18 04:37:41,0
23.4,54.0,2018-08-18 04:38:42,0
23.5,54.0,2018-08-18 04:39:42,0
23.5,54.1,2018-08-18 04:40:43,0
23.5,54.1,2018-08-18 04:41:43,0
23.5,54.1,2018-08-18 04:42:44,0
23.5,54.1,2018-08-18 04:43:47,0
23.5,54.1,2018-08-18 04:44:48,0
23.5,54.1,2018-08-18 04:45:48,0
23.5,54.1,2018-08-18 04:46:49,0
23.6,54.1,2018-08-18 04:47:49,0
23.5,54.0,2018-08-18 04:48:50,0
23.6,54.1,2018-08-18 04:49:51,0
23.5,54.1,2018-08-18 04:50:51,0
23.6,54.1,2018-08-18 04:51:52,0
23.6,54.1,2018-08-18 04:52:52,0
23.6,54.1,2018-08-18 04:53:53,0
23.6,54.1,2018-08-18 04:54:54,0
23.6,54.1,2018-08-18 04:55:54,0
23.6,54.1,2018-08-18 04:56:55,0
23.6,54.1,2018-08-18 04:57:55,0
23.5,54.2,2018-08-18 04:58:58,0
23.6,54.2,2018-08-18 05:00:02,0
23.6,54.3,2018-08-18 05:01:02,0
